,SAMPLE,THICKNESS mm,SLITLENGTH mm,SLITWIDTH mm,HPIXELSIZE mm,VPIXELSIZE mm,MIN,MAX
0,152.0,2.11,2.0,0.026746,0.021167,0.021167,98.0,163.0
1,81.0,2.278,2.0,0.021885,0.021167,0.021167,84.0,139.0
2,163.0,2.401,2.0,0.027995,0.021167,0.021167,104.0,144.0
3,84.0,2.223,2.0,0.021189,0.021167,0.021167,73.0,155.0
4,66.0,2.459,2.0,0.021606,0.021167,0.021167,59.0,160.0
5,177.0,2.199,2.0,0.02331,0.021167,0.021167,80.0,141.0
6,171.0,2.217,2.0,0.021261,0.021167,0.021167,106.0,167.0
7,100.0,2.439,2.0,0.021581,0.021167,0.021167,73.0,174.0
8,147.0,2.378,2.0,0.023175,0.021167,0.021167,102.0,169.0
9,179.0,2.347,2.0,0.021519,0.021167,0.021167,72.0,137.0
10,34.0,1.764,2.0,0.027218,0.021167,0.021167,81.0,176.0
11,58.0,2.411,2.0,0.027601,0.021167,0.021167,61.0,116.0
12,176.0,2.3,2.0,0.026988,0.021167,0.021167,93.0,164.0
13,56.0,2.244,2.0,0.026482,0.021167,0.021167,54.0,127.0
14,156.0,2.276,2.0,0.027238,0.021167,0.021167,107.0,189.0
15,76.0,2.189,2.0,0.021169,0.021167,0.021167,97.0,148.0
16,106.0,2.284,2.0,0.02262,0.021167,0.021167,108.0,182.0
17,159.0,2.323,2.0,0.021288,0.021167,0.021167,121.0,187.0
18,19.0,2.12,2.0,0.024261,0.021167,0.021167,96.0,147.0
19,22.0,2.178,2.0,0.022725,0.021167,0.021167,74.0,142.0
20,187.0,2.256,2.0,0.021602,0.021167,0.021167,92.0,185.0
21,167.0,2.308,2.0,0.021229,0.021167,0.021167,53.0,144.0
22,60.0,2.111,2.0,0.021334,0.021167,0.021167,81.0,135.0
23,82.0,2.247,2.0,0.021471,0.021167,0.021167,90.0,196.0
24,168.0,2.272,2.0,0.024093,0.021167,0.021167,48.0,174.0
25,175.0,2.068,2.0,0.023454,0.021167,0.021167,98.0,155.0
26,11.0,2.522,2.0,0.02316,0.021167,0.021167,79.0,145.0
27,69.0,2.421,2.0,0.022828,0.021167,0.021167,89.0,182.0
28,31.0,1.882,2.0,0.021236,0.021167,0.021167,66.0,183.0
29,174.0,2.265,2.0,0.02128,0.021167,0.021167,101.0,177.0
30,122.0,2.233,2.0,0.021445,0.021167,0.021167,92.0,166.0
31,74.0,2.354,2.0,0.021204,0.021167,0.021167,71.0,170.0
32,48.0,2.151,2.0,0.021562,0.021167,0.021167,92.0,179.0
33,145.0,2.43,2.0,0.02154,0.021167,0.021167,31.0,129.0
34,97.0,2.36,2.0,0.026379,0.021167,0.021167,100.0,149.0
35,25.0,1.893,2.0,0.021791,0.021167,0.021167,96.0,174.0
36,107.0,2.234,2.0,0.021167,0.021167,0.021167,108.0,153.0
37,13.0,2.418,2.0,0.021263,0.021167,0.021167,81.0,125.0
38,16.0,2.528,2.0,0.022627,0.021167,0.021167,80.0,141.0
39,140.0,2.113,2.0,0.021322,0.021167,0.021167,106.0,172.0
40,116.0,2.391,2.0,0.022151,0.021167,0.021167,108.0,172.0
41,55.0,2.387,2.0,0.023402,0.021167,0.021167,71.0,135.0
42,136.0,2.221,2.0,0.021997,0.021167,0.021167,88.0,139.0
43,29.0,2.268,2.0,0.023296,0.021167,0.021167,93.0,159.0
44,127.0,1.979,2.0,0.022166,0.021167,0.021167,95.0,152.0
45,77.0,2.334,2.0,0.022054,0.021167,0.021167,84.0,151.0
46,151.0,2.323,2.0,0.023099,0.021167,0.021167,29.0,185.0
47,155.0,2.193,2.0,0.021607,0.021167,0.021167,55.0,161.0
48,12.0,2.478,2.0,0.023682,0.021167,0.021167,29.0,123.0
49,62.0,2.326,2.0,0.025849,0.021167,0.021167,106.0,159.0
50,33.0,2.158,2.0,0.021296,0.021167,0.021167,89.0,177.0
51,108.0,2.311,2.0,0.023904,0.021167,0.021167,105.0,163.0
52,169.0,2.341,2.0,0.023993,0.021167,0.021167,92.0,157.0
53,30.0,2.233,2.0,0.022382,0.021167,0.021167,115.0,191.0
54,148.0,2.34,2.0,0.028701,0.021167,0.021167,79.0,150.0
55,166.0,2.355,2.0,0.026701,0.021167,0.021167,73.0,149.0
56,146.0,2.227,2.0,0.02554,0.021167,0.021167,88.0,200.0
57,149.0,2.169,2.0,0.022114,0.021167,0.021167,54.0,179.0
58,164.0,2.242,2.0,0.02659,0.021167,0.021167,87.0,142.0
59,46.0,2.161,2.0,0.022593,0.021167,0.021167,95.0,166.0
60,130.0,2.086,2.0,0.025347,0.021167,0.021167,107.0,175.0
61,6.0,2.412,2.0,0.025339,0.021167,0.021167,55.0,150.0
62,38.0,2.248,2.0,0.022411,0.021167,0.021167,75.0,175.0
63,17.0,2.288,2.0,0.026192,0.021167,0.021167,34.0,157.0
64,121.0,2.388,2.0,0.025649,0.021167,0.021167,64.0,180.0
65,143.0,2.022,2.0,0.021676,0.021167,0.021167,42.0,168.0
66,137.0,2.116,2.0,0.021202,0.021167,0.021167,81.0,170.0
67,128.0,2.12,2.0,0.027669,0.021167,0.021167,71.0,152.0
68,114.0,2.201,2.0,0.0218,0.021167,0.021167,72.0,167.0
69,71.0,2.385,2.0,0.028279,0.021167,0.021167,48.0,167.0
70,3.0,2.388,1.0,0.025579,0.021167,0.021167,59.0,102.0
71,181.0,2.317,2.0,0.0221,0.021167,0.021167,65.0,146.0
72,7.0,2.447,2.0,0.025866,0.021167,0.021167,97.0,169.0
73,39.0,2.323,2.0,0.02461,0.021167,0.021167,118.0,184.0
74,104.0,2.355,2.0,0.029486,0.021167,0.021167,63.0,153.0
75,119.0,2.404,2.0,0.028477,0.021167,0.021167,69.0,153.0
76,172.0,2.264,2.0,0.024103,0.021167,0.021167,68.0,181.0
77,113.0,2.195,2.0,0.021663,0.021167,0.021167,57.0,165.0
78,32.0,2.098,2.0,0.022773,0.021167,0.021167,91.0,173.0
79,64.0,2.231,2.0,0.022021,0.021167,0.021167,21.0,142.0
80,36.0,2.282,2.0,0.021171,0.021167,0.021167,61.0,146.0
